nfe,sales,dist,sales_norm,dist_norm,zipcodes,elapsed,hv,PF
1050000,820510,42956.52,0.679,0.235,45768 79227 24226 79594 82256 38448 21529 52382 88097 88289 12527 83115 3042 78078 46562 ,134547,0.6361,True
1050000,828927,42949.0,0.6709999999999999,0.235,45770 79227 24159 79639 88281 83026 82256 38448 21529 52382 88097 12527 3042 78078 46562 ,186861,0.6378,True
1050000,838970,42944.0,0.6609999999999999,0.235,79098 45770 24159 79639 88281 83064 82256 21529 52382 88097 12527 3042 78078 38479 46562 ,1573510,0.6407,True
1050000,853070,42922.0,0.647,0.23600000000000002,79299 45770 24106 79639 88281 83064 82256 21529 52382 88097 12527 3042 78078 38479 46562 ,192192,0.64,True
1050000,860152,42886.0,0.64,0.237,79299 45770 24106 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 78078 46562 ,192192,0.64,True
1050000,863384,42847.0,0.637,0.23800000000000002,79098 45770 24106 79594 88281 82256 38448 21529 52382 88097 12527 83115 3042 78078 46562 ,202837,0.637,True
1050000,863957,42846.0,0.636,0.23800000000000002,79299 45768 24106 79594 88281 38442 83064 82256 21529 52382 88097 12527 3042 78078 46562 ,185122,0.6394,True
1050000,865944,42841.0,0.634,0.239,79098 45770 24106 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 78078 46562 ,192192,0.64,True
1050000,945156,42823.0,0.555,0.239,42349 45768 79227 24159 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,149531,0.6357,True
1050000,946710,42820.98,0.5529999999999999,0.239,42349 45768 79285 24159 79639 88281 83064 82256 52382 88097 21526 12527 3042 38479 46562 ,174803,0.637,True
1050000,951549,42813.0,0.5479999999999999,0.24,42349 45770 79294 24159 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,1573510,0.6407,True
1050000,954493,42805.16,0.546,0.24,42349 45768 79285 24159 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,174803,0.637,True
1050000,957013,42782.27,0.5429999999999999,0.24100000000000002,42349 45768 79285 24159 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,174803,0.637,True
1050000,958631,42778.0,0.541,0.24100000000000002,42349 45770 79294 24159 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,1573510,0.6407,True
1050000,959336,42769.41,0.541,0.24100000000000002,42349 45770 79285 79594 24159 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,122764,0.6364,True
1050000,961416,42764.0,0.539,0.24100000000000002,42117 79299 45770 24161 79639 88281 83064 82256 21529 52382 88097 12527 3053 38479 46562 ,1550179,0.6315,True
1050000,962737,42760.71,0.537,0.24100000000000002,42349 79299 45768 79594 24159 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,131032,0.6347,True
1050000,964859,42758.0,0.535,0.24100000000000002,42117 45770 79285 24106 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,241196,0.6306,True
1050000,970942,42757.73,0.529,0.24100000000000002,42349 79299 45768 24161 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,134880,0.6337,True
1050000,976741,42753.0,0.523,0.242,42349 79299 45770 24106 79639 88281 82256 38448 21529 52382 88097 12527 83115 3042 46562 ,211780,0.6357,True
1050000,978824,42734.0,0.521,0.242,42349 79299 45770 24106 79639 88281 83064 82256 21529 52382 88097 12527 3042 38479 46562 ,192191,0.64,True
1050000,979261,42730.0,0.521,0.242,42349 79299 45770 24106 79639 88281 38442 82256 21529 52382 88097 12527 83115 3042 46562 ,211780,0.6357,True
1050000,980586,42725.62,0.519,0.242,42349 79299 45768 24106 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,134879,0.6337,True
1050000,983386,42721.0,0.517,0.243,42349 79299 45770 24106 79639 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,217550,0.6354,True
1050000,985906,42698.0,0.514,0.243,42349 79299 45770 24106 79639 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,192191,0.64,True
1050000,987191,42682.0,0.513,0.244,42349 79299 45768 24106 79594 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,1138672,0.635,True
1050000,989991,42677.0,0.51,0.244,42349 79299 45770 24106 79594 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,176080,0.6359,True
1050000,992511,42654.0,0.507,0.245,42349 79299 45770 24106 79594 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,192191,0.64,True
1050000,992983,42636.0,0.507,0.245,42349 79098 45768 24106 79594 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,202836,0.637,True
1050000,995783,42632.0,0.504,0.24600000000000002,42349 79098 45770 24106 79594 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,423906,0.631,True
1050000,998303,42609.0,0.502,0.24600000000000002,42349 79098 45770 24106 79594 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,192191,0.64,True
1050000,999076,42584.0,0.501,0.247,42349 79098 45770 24106 79594 88281 83064 82256 38448 21529 15732 52382 88097 3042 46562 ,1588694,0.634,True
1050000,1000378,42582.0,0.5,0.247,42349 79194 45770 24106 79594 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,176080,0.6359,True
1050000,1001596,42561.0,0.498,0.248,42349 79098 45770 24106 79594 88281 38442 83064 82256 21529 15732 52382 88097 3042 46562 ,215082,0.6358,True
1050000,1002898,42559.0,0.49700000000000005,0.248,42349 79194 45770 24106 79594 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,192191,0.64,True
1050000,1003671,42535.0,0.496,0.249,42349 79194 45770 24106 79594 88281 83064 82256 38448 21529 15732 52382 88097 3042 46562 ,3824347,0.6376,True
1050000,1004153,42530.0,0.496,0.249,42349 79194 45770 24106 79541 88281 83064 82256 38448 21529 52382 88097 12527 3042 46562 ,182608,0.6363,True
1050000,1006191,42512.0,0.494,0.25,42349 79194 45770 24106 79594 88281 38442 83064 82256 21529 15732 52382 88097 3042 46562 ,188009,0.6353,True
1050000,1006673,42507.0,0.493,0.25,42349 79194 45770 24106 79541 88281 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,192191,0.64,True
1050000,1007446,42483.0,0.493,0.251,42349 79194 45770 24106 79541 88281 83064 82256 38448 21529 15732 52382 88097 3042 46562 ,219759,0.636,True
1050000,1007975,42467.0,0.49200000000000005,0.251,42349 79194 45770 24106 79541 88255 38442 83064 82256 21529 52382 88097 12527 3042 46562 ,182608,0.6363,True
1050000,1009966,42460.0,0.49,0.251,42349 79194 45770 24106 79541 88281 38442 83064 82256 21529 15732 52382 88097 3042 46562 ,191736,0.6361,True
1050000,1010411,42430.0,0.49,0.252,42349 79194 45770 24106 79541 83022 88281 82256 38448 21529 15732 52382 88097 3042 46562 ,217743,0.6364,True
1050000,1011268,42419.0,0.489,0.253,42349 79194 45770 24106 79541 88255 38442 83064 82256 21529 15732 52382 88097 3042 46562 ,3731156,0.6341,True
1050000,1012931,42407.0,0.48700000000000004,0.253,42349 79194 45770 24106 79541 83022 88281 38442 82256 21529 15732 52382 88097 3042 46562 ,192191,0.64,True
1050000,1013501,42387.92,0.486,0.254,42349 72138 45768 79285 24159 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,174802,0.637,True
1050000,1016389,42378.0,0.484,0.254,42115 72827 79299 45770 24161 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,203100,0.6239,True
1050000,1016477,42374.0,0.484,0.254,42117 79299 72810 45768 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,186227,0.6301,True
1050000,1023224,42360.0,0.47700000000000004,0.255,42115 79299 72810 45770 24106 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,185310,0.6297,True
1050000,1023867,42347.0,0.47600000000000003,0.255,42117 72138 45770 79285 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,241196,0.6306,True
1050000,1026033,42345.0,0.474,0.255,42115 72827 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,203100,0.6239,True
1050000,1029453,42341.0,0.47100000000000003,0.255,42115 72138 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,192191,0.64,True
1050000,1029950,42337.93,0.47,0.255,42349 72138 79299 45768 24161 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1030068,42332.0,0.47,0.256,42117 72138 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,241196,0.6306,True
1050000,1035749,42331.0,0.46399999999999997,0.256,42349 72138 79299 45770 24106 79639 88281 82256 38448 21529 88097 12527 83115 3042 46562 ,211779,0.6357,True
1050000,1037832,42318.0,0.462,0.256,42349 72138 79299 45770 24106 79639 88281 83064 82256 21529 88097 12527 3042 38479 46562 ,192191,0.64,True
1050000,1038269,42312.0,0.462,0.256,42349 72138 79299 45770 24106 79639 88281 38442 82256 21529 88097 12527 83115 3042 46562 ,211779,0.6357,True
1050000,1039594,42305.61,0.46,0.256,42349 72138 79299 45768 24106 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1042394,42300.0,0.45799999999999996,0.257,42349 72138 79299 45770 24106 79639 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,206582,0.637,True
1050000,1044914,42281.0,0.455,0.257,42349 72138 79299 45770 24106 79639 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,192191,0.64,True
1050000,1046199,42261.47,0.45399999999999996,0.258,42349 72138 79299 45768 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1048999,42256.0,0.451,0.258,42349 72138 79299 45770 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,211779,0.6357,True
1050000,1051519,42237.0,0.44799999999999995,0.259,42349 72138 79299 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,192191,0.64,True
1050000,1051991,42215.16,0.44799999999999995,0.259,42349 72138 79098 45768 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,134879,0.6337,True
1050000,1054791,42209.36,0.445,0.26,42349 72138 79098 45770 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,125497,0.6351,True
1050000,1057311,42191.0,0.44299999999999995,0.26,42349 72138 79098 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,192191,0.64,True
1050000,1058299,42165.0,0.442,0.261,42349 72138 79108 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,182802,0.6379,True
1050000,1059386,42161.0,0.441,0.261,42349 79194 72138 45770 24106 79594 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,182773,0.6309,True
1050000,1060604,42144.0,0.439,0.262,42349 72138 79098 45770 24106 79594 88281 38442 83064 82256 21529 15732 88097 3042 46562 ,215081,0.6358,True
1050000,1061906,42142.0,0.43799999999999994,0.262,42349 79194 72138 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,176080,0.6359,True
1050000,1062679,42114.0,0.43700000000000006,0.263,42349 79194 72138 45770 24106 79594 88281 83064 82256 38448 21529 15732 88097 3042 46562 ,215081,0.6358,True
1050000,1063161,42111.13,0.43700000000000006,0.263,42349 79194 72138 45770 24106 79541 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,137034,0.6296,True
1050000,1063208,42101.0,0.43700000000000006,0.263,42349 79194 72138 45770 24106 79594 88255 38442 83064 82256 21529 88097 12527 3042 46562 ,3863703,0.6307,True
1050000,1065199,42095.0,0.435,0.264,42349 79194 72138 45770 24106 79594 88281 38442 83064 82256 21529 15732 88097 3042 46562 ,192191,0.64,True
1050000,1065681,42092.29,0.434,0.264,42349 79194 72138 45770 24106 79541 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,131511,0.6367,True
1050000,1066454,42064.0,0.434,0.265,42349 79194 72138 45770 24106 79541 88281 83064 82256 38448 21529 15732 88097 3042 46562 ,219759,0.636,True
1050000,1066501,42054.12,0.433,0.265,42349 79194 72138 45770 24106 79594 88255 38442 83064 82256 21529 15732 88097 3042 46562 ,140013,0.6372,True
1050000,1066983,42051.46,0.433,0.265,42349 79194 72138 45770 24106 79541 88255 38442 83064 82256 21529 88097 12527 3042 46562 ,132801,0.6362,True
1050000,1067362,42046.61,0.433,0.265,42349 79194 72138 45770 24106 79594 88281 83026 38442 82256 21529 15732 88097 3042 46562 ,134054,0.6363,True
1050000,1068974,42045.29,0.431,0.265,42349 79194 72138 45770 24106 79541 88281 38442 83064 82256 21529 15732 88097 3042 46562 ,134846,0.6338,True
1050000,1069419,42014.0,0.431,0.266,42349 79194 72138 45770 24106 79541 83022 88281 82256 38448 21529 15732 88097 3042 46562 ,219759,0.636,True
1050000,1070276,42004.44,0.43,0.267,42349 79194 72138 45770 24106 79541 88255 38442 83064 82256 21529 15732 88097 3042 46562 ,133555,0.6352,True
1050000,1071137,41997.04,0.429,0.267,42349 79194 72138 45770 24106 79541 88281 83026 38442 82256 21529 15732 88097 3042 46562 ,134054,0.6363,True
1050000,1071939,41995.0,0.428,0.267,42349 79194 72138 45770 24106 79541 83022 88281 38442 82256 21529 15732 88097 3042 46562 ,182773,0.6309,True
1050000,1071959,41967.13,0.428,0.268,42349 79194 72138 45770 24106 79541 88255 38442 83064 82256 21529 15732 88045 3042 46562 ,125210,0.6372,True
1050000,1072561,41961.23,0.42700000000000005,0.268,42349 69181 79194 45770 24106 79594 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,137412,0.6324,True
1050000,1073241,41954.0,0.42700000000000005,0.268,42349 79194 72138 45770 24106 79541 88255 83022 38442 82256 21529 15732 88097 3042 46562 ,480257,0.629,True
1050000,1073334,41934.0,0.42700000000000005,0.26899999999999996,42349 69181 79194 45770 24106 79594 88281 83064 82256 38448 21529 15732 88097 3042 46562 ,215081,0.6358,True
1050000,1073816,41930.0,0.426,0.26899999999999996,42349 69181 79194 45770 24106 79541 88281 83064 82256 38448 21529 88097 12527 3042 46562 ,204913,0.6374,True
1050000,1074924,41916.44,0.425,0.26899999999999996,42349 79194 72138 45770 24106 79541 88255 83022 38442 82256 21529 15732 88045 3042 46562 ,125210,0.6372,True
1050000,1075854,41914.0,0.424,0.27,42349 69181 79194 45770 24106 79594 88281 38442 83064 82256 21529 15732 88097 3042 46562 ,122762,0.6364,True
1050000,1076336,41910.0,0.424,0.27,42349 69181 79194 45770 24106 79541 88281 38442 83064 82256 21529 88097 12527 3042 46562 ,182608,0.6363,True
1050000,1077156,41873.3,0.423,0.271,42349 69181 79194 45770 24106 79594 88255 38442 83064 82256 21529 15732 88097 3042 46562 ,140013,0.6372,True
1050000,1077638,41869.0,0.42200000000000004,0.271,42349 69181 79194 45770 24106 79541 88255 38442 83064 82256 21529 88097 12527 3042 46562 ,1148087,0.6303,True
1050000,1078017,41864.67,0.42200000000000004,0.271,42349 69181 79194 45770 24106 79594 88281 83026 38442 82256 21529 15732 88097 3042 46562 ,134054,0.6363,True
1050000,1079629,41863.0,0.42,0.271,42349 69181 79194 45770 24106 79541 88281 38442 83064 82256 21529 15732 88097 3042 46562 ,192191,0.64,True
1050000,1080074,41831.0,0.42,0.272,42349 69181 79194 45770 24106 79541 83022 88281 82256 38448 21529 15732 88097 3042 46562 ,219758,0.636,True
1050000,1080931,41822.06,0.419,0.273,42349 69181 79194 45770 24106 79541 88255 38442 83064 82256 21529 15732 88097 3042 46562 ,133555,0.6352,True
1050000,1081792,41813.54,0.418,0.273,42349 69181 79194 45770 24106 79541 88281 83026 38442 82256 21529 15732 88097 3042 46562 ,134054,0.6363,True
1050000,1082594,41811.0,0.41700000000000004,0.273,42349 69181 79194 45770 24106 79541 83022 88281 38442 82256 21529 15732 88097 3042 46562 ,162909,0.6329,True
1050000,1082614,41784.69,0.41700000000000004,0.27399999999999997,42349 69181 79194 45770 24106 79541 88255 38442 83064 82256 21529 15732 88045 3042 46562 ,125210,0.6372,True
1050000,1083094,41772.49,0.41700000000000004,0.27399999999999997,42349 69181 79194 45770 24106 79541 88255 83026 38442 82256 21529 15732 88097 3042 46562 ,134054,0.6363,True
1050000,1083896,41770.0,0.41600000000000004,0.27399999999999997,42349 69181 79194 45770 24106 79541 88255 83022 38442 82256 21529 15732 88097 3042 46562 ,187109,0.6351,True
1050000,1085579,41732.25,0.414,0.276,42349 69181 79194 45770 24106 79541 88255 83022 38442 82256 21529 15732 88045 3042 46562 ,125210,0.6372,True
1050000,1088048,41688.0,0.41200000000000003,0.27699999999999997,42349 72138 73249 79299 45770 24106 79639 83064 82256 38448 21529 88097 12527 3042 46562 ,206581,0.637,True
1050000,1090568,41669.0,0.409,0.278,42349 72138 73249 79299 45770 24106 79639 38442 83064 82256 21529 88097 12527 3042 46562 ,216157,0.6353,True
1050000,1091233,41649.0,0.409,0.278,42349 72827 73249 79299 45770 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,3015061,0.6343,True
1050000,1091853,41648.45,0.408,0.278,42349 72138 73249 79299 45768 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,134878,0.6337,True
1050000,1094653,41643.0,0.405,0.27899999999999997,42349 72138 73249 79299 45770 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,1170379,0.6284,True
1050000,1097173,41623.21,0.40299999999999997,0.27899999999999997,42349 72138 73249 79299 45770 24106 79594 38442 83064 82256 21529 88097 12527 3042 46562 ,135263,0.6349,True
1050000,1097645,41599.0,0.402,0.28,42349 72138 79098 73249 45768 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,134878,0.6337,True
1050000,1097946,41595.3,0.402,0.28,42349 72138 73249 79299 45770 24106 79594 83064 82256 38448 21529 15732 88097 3042 46562 ,133555,0.6352,True
1050000,1100445,41593.07,0.4,0.28,42349 72138 79098 73249 45770 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,125497,0.6351,True
1050000,1100705,41586.0,0.39899999999999997,0.28,42349 69181 72138 79299 45770 24106 79639 38442 82256 21529 88097 12527 83115 3042 46562 ,1148086,0.6303,True
1050000,1101410,41583.0,0.39899999999999997,0.281,42349 69181 72827 79299 45770 24106 79639 83064 82256 38448 21529 88097 12527 3042 46562 ,217548,0.6354,True
1050000,1102030,41580.34,0.39799999999999996,0.281,42349 69181 72138 79299 45768 24106 79639 83064 82256 38448 21529 88097 12527 3042 46562 ,134878,0.6337,True
1050000,1104830,41575.0,0.395,0.281,42349 69181 72138 79299 45770 24106 79639 83064 82256 38448 21529 88097 12527 3042 46562 ,1170379,0.6284,True
1050000,1107350,41554.0,0.39299999999999996,0.282,42349 69181 72138 79299 45770 24106 79639 38442 83064 82256 21529 88097 12527 3042 46562 ,192190,0.64,True
1050000,1108015,41537.0,0.392,0.282,42349 69181 72827 79299 45770 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,3015061,0.6343,True
1050000,1108635,41534.13,0.391,0.282,42349 69181 72138 79299 45768 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,134878,0.6337,True
1050000,1111435,41528.33,0.389,0.282,42349 69181 72138 79299 45770 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,137411,0.6324,True
1050000,1113955,41508.0,0.386,0.28300000000000003,42349 69181 72138 79299 45770 24106 79594 38442 83064 82256 21529 88097 12527 3042 46562 ,192190,0.64,True
1050000,1114427,41484.0,0.386,0.284,42349 69181 72138 79098 45768 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,202835,0.637,True
1050000,1114728,41481.0,0.385,0.284,42349 69181 72138 79299 45770 24106 79594 83064 82256 38448 21529 15732 88097 3042 46562 ,1192539,0.6277,True
1050000,1117227,41478.11,0.38299999999999995,0.284,42349 69181 72138 79098 45770 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,125497,0.6351,True
1050000,1117248,41460.0,0.38299999999999995,0.285,42349 69181 72138 79299 45770 24106 79594 38442 83064 82256 21529 15732 88097 3042 46562 ,215080,0.6358,True
1050000,1119747,41458.0,0.38,0.285,42349 69181 72138 79098 45770 24106 79594 38442 83064 82256 21529 88097 12527 3042 46562 ,192190,0.64,True
1050000,1120520,41431.0,0.379,0.28600000000000003,42349 69181 72138 79098 45770 24106 79594 83064 82256 38448 21529 15732 88097 3042 46562 ,205091,0.6332,True
1050000,1120735,41427.0,0.379,0.28600000000000003,42349 69181 72138 79108 45770 24106 79594 38442 83064 82256 21529 88097 12527 3042 46562 ,622188,0.6343,True
1050000,1121002,41424.0,0.379,0.28600000000000003,42349 69181 72138 79098 45770 24106 79541 83064 82256 38448 21529 88097 12527 3042 46562 ,186007,0.629,True
1050000,1121822,41423.28,0.37799999999999995,0.28600000000000003,42349 69181 79194 72138 45770 24106 79594 83064 82256 38448 21529 88097 12527 3042 46562 ,122761,0.6364,True
1050000,1123040,41410.06,0.377,0.28600000000000003,42349 69181 72138 79098 45770 24106 79594 38442 83064 82256 21529 15732 88097 3042 46562 ,136776,0.6245,True
1050000,1123522,41403.25,0.376,0.287,42349 69181 72138 79098 45770 24106 79541 38442 83064 82256 21529 88097 12527 3042 46562 ,134356,0.6328,True
1050000,1124342,41403.0,0.376,0.287,42349 69181 79194 72138 45770 24106 79594 38442 83064 82256 21529 88097 12527 3042 46562 ,185120,0.6394,True
1050000,1125115,41376.0,0.375,0.287,42349 69181 79194 72138 45770 24106 79594 83064 82256 38448 21529 15732 88097 3042 46562 ,215080,0.6358,True
1050000,1126458,41370.0,0.374,0.28800000000000003,42349 69181 72138 79299 45770 24106 79594 88287 38442 83064 82256 21529 12527 3042 46562 ,238169,0.6288,True
1050000,1126815,41356.0,0.373,0.28800000000000003,42349 69181 72138 79098 45770 24106 79541 38442 83064 82256 21529 15732 88097 3042 46562 ,191735,0.6361,True
1050000,1127635,41355.22,0.37200000000000005,0.28800000000000003,42349 69181 79194 72138 45770 24106 79594 38442 83064 82256 21529 15732 88097 3042 46562 ,134845,0.6338,True
1050000,1128117,41348.4,0.37200000000000005,0.28800000000000003,42349 69181 79194 72138 45770 24106 79541 38442 83064 82256 21529 88097 12527 3042 46562 ,131510,0.6367,True
1050000,1129730,41340.0,0.37,0.289,42349 69181 72138 79098 45770 24106 79594 88287 83064 82256 38448 21529 12527 3042 46562 ,176079,0.6359,True
1050000,1129751,41323.0,0.37,0.289,42349 69181 72138 79299 45770 24106 79594 88287 38442 83064 82256 21529 15732 3042 46562 ,187402,0.6277,True
1050000,1132250,41319.13,0.368,0.289,42349 69181 72138 79098 45770 24106 79594 88287 38442 83064 82256 21529 12527 3042 46562 ,175481,0.6329,True
1050000,1133023,41292.06,0.36700000000000005,0.29,42349 69181 72138 79098 45770 24106 79594 88287 83064 82256 38448 21529 15732 3042 46562 ,136776,0.6245,True
1050000,1133238,41288.0,0.36700000000000005,0.29,42349 69181 72138 79108 45770 24106 79594 88287 38442 83064 82256 21529 12527 3042 46562 ,622188,0.6343,True
1050000,1133505,41285.0,0.366,0.29100000000000004,42349 69181 72138 79098 45770 24106 79541 88287 83064 82256 38448 21529 12527 3042 46562 ,215346,0.6346,True
1050000,1134325,41284.0,0.366,0.29100000000000004,42349 69181 79194 72138 45770 24106 79594 88287 83064 82256 38448 21529 12527 3042 46562 ,182772,0.6309,True
1050000,1135543,41272.0,0.364,0.29100000000000004,42349 69181 72138 79098 45770 24106 79594 88287 38442 83064 82256 21529 15732 3042 46562 ,159552,0.6338,True
1050000,1136025,41264.25,0.364,0.29100000000000004,42349 69181 72138 79098 45770 24106 79541 88287 38442 83064 82256 21529 12527 3042 46562 ,134356,0.6328,True
1050000,1136845,41263.49,0.363,0.29100000000000004,42349 69181 79194 72138 45770 24106 79594 88287 38442 83064 82256 21529 12527 3042 46562 ,122761,0.6364,True
1050000,1137618,41236.42,0.36200000000000004,0.292,42349 69181 79194 72138 45770 24106 79594 88287 83064 82256 38448 21529 15732 3042 46562 ,135322,0.6356,True
1050000,1138100,41229.06,0.36200000000000004,0.292,42349 69181 79194 72138 45770 24106 79541 88287 83064 82256 38448 21529 12527 3042 46562 ,137033,0.6296,True
1050000,1139318,41217.0,0.361,0.293,42349 69181 72138 79098 45770 24106 79541 88287 38442 83064 82256 21529 15732 3042 46562 ,192190,0.64,True
1050000,1140138,41216.0,0.36,0.293,42349 69181 79194 72138 45770 24106 79594 88287 38442 83064 82256 21529 15732 3042 46562 ,188008,0.6353,True
1050000,1140620,41209.0,0.359,0.293,42349 69181 79194 72138 45770 24106 79541 88287 38442 83064 82256 21529 12527 3042 46562 ,182607,0.6363,True
1050000,1141393,41182.0,0.359,0.294,42349 69181 79194 72138 45770 24106 79541 88287 83064 82256 38448 21529 15732 3042 46562 ,186007,0.629,True
1050000,1141481,41165.0,0.359,0.294,42349 69181 72138 79098 45770 24106 79541 88287 83026 38442 82256 21529 15732 3042 46562 ,211777,0.6357,True
1050000,1142283,41162.0,0.358,0.295,42349 69181 72138 79098 45770 24106 79541 88287 83022 38442 82256 21529 15732 3042 46562 ,216156,0.6353,True
1050000,1143913,41161.08,0.35600000000000004,0.295,42349 69181 79194 72138 45770 24106 79541 88287 38442 83064 82256 21529 15732 3042 46562 ,139998,0.6266,True
1050000,1144358,41126.16,0.35600000000000004,0.29600000000000004,42349 69181 79194 72138 45770 24106 79541 88287 83022 82256 38448 21529 15732 3042 46562 ,137033,0.6296,True
1050000,1146878,41106.0,0.353,0.29600000000000004,42349 69181 79194 72138 45770 24106 79541 88287 83022 38442 82256 21529 15732 3042 46562 ,191735,0.6361,True
